spectra (nm),
695.72,0.062798118
696.06,0.065110258
696.39,0.067284562
696.73,0.069306928
697.07,0.07165889
697.4,0.074622846
697.74,0.076852181
698.08,0.080129894
698.42,0.082673879
698.75,0.085544702
699.09,0.089056231
699.43,0.092626639
699.76,0.096311634
700.1,0.098562488
700.44,0.103044285
700.77,0.106148115
701.11,0.110183345
701.45,0.113846883
701.78,0.11759128
702.12,0.120736894
702.45,0.125010125
702.79,0.128695028
703.13,0.132698789
703.46,0.136021329
703.8,0.140383621
704.14,0.144742201
704.47,0.149007244
704.81,0.151597438
705.14,0.15683125
705.48,0.160078419
705.82,0.16473365
706.15,0.167568244
706.49,0.172041515
706.82,0.176856477
707.16,0.181068359
707.5,0.185162657
707.83,0.189047002
708.17,0.192578872
708.5,0.196329013
708.84,0.200432987
709.17,0.20409838
709.51,0.208117814
709.84,0.212264696
710.18,0.216089301
710.52,0.219870399
710.85,0.224133238
711.19,0.226561693
711.52,0.231606557
711.86,0.235288131
712.19,0.237748596
712.53,0.242335341
712.86,0.245449928
713.2,0.248620232
713.53,0.252551836
713.87,0.254620167
714.2,0.25876811
714.54,0.262121772
714.87,0.265892965
715.21,0.268771851
715.54,0.272324776
715.88,0.27788966
716.21,0.278116759
716.54,0.282874185
716.88,0.285580441
717.21,0.290234099
717.55,0.293641884
717.88,0.296108482
718.22,0.299578288
718.55,0.303359275
718.88,0.305306318
719.22,0.309607662
719.55,0.311060409
719.89,0.317428481
720.22,0.318335047
720.56,0.321882268
720.89,0.321326752
721.22,0.322946422
721.56,0.327988359
721.89,0.329277381
722.22,0.330716909
722.56,0.332493837
722.89,0.334609992
723.23,0.336706352
723.56,0.340167627
723.89,0.342005857
724.23,0.34302026
724.56,0.346817454
724.89,0.35002154
725.23,0.349700072
725.56,0.353509936
725.89,0.356893302
726.23,0.35813391
726.56,0.357720624
726.89,0.362173348
727.23,0.362753849
727.56,0.365608244
727.89,0.36752604
728.23,0.368170711
728.56,0.369653158
728.89,0.371272685
729.22,0.372380322
729.56,0.375186348
729.89,0.374925935
730.22,0.377283511
730.55,0.378996771
730.89,0.381513254
731.22,0.380410014
731.55,0.38236347
731.89,0.383885813
732.22,0.38664987
732.55,0.384889033
732.88,0.388150241
733.21,0.388316359
733.55,0.389073126
733.88,0.389772609
734.21,0.390434174
734.54,0.394236243
734.88,0.396426936
735.21,0.39749185
735.54,0.397052875
735.87,0.396770838
736.2,0.400045704
736.54,0.401748452
736.87,0.40212585
737.2,0.403794737
737.53,0.404548088
737.86,0.406540453
738.19,0.407639134
738.53,0.408725474
738.86,0.409109441
739.19,0.411184593
739.52,0.411235325
739.85,0.411842323
740.18,0.412661424
740.51,0.415784097
740.85,0.415015231
741.18,0.417070049
741.51,0.415450411
741.84,0.418438456
742.17,0.419263174
742.5,0.42157314
742.83,0.421323082
743.16,0.42518745
743.49,0.421903066
743.82,0.424915483
744.16,0.422925454
744.49,0.424163717
744.82,0.42613533
745.15,0.426523001
745.48,0.427825314
745.81,0.429542744
746.14,0.427497407
746.47,0.43084068
746.8,0.430978426
747.13,0.431554224
747.46,0.432052782
747.79,0.433127675
748.12,0.431806295
