spectra (nm),algal lawn reflection
730.55,0.280159737
730.89,0.28022253
731.22,0.281764851
731.55,0.281786394
731.89,0.284030057
732.22,0.283643452
732.55,0.28498077
732.88,0.285265422
733.21,0.286291677
733.55,0.286544544
733.88,0.288916984
734.21,0.28897922
734.54,0.289857504
734.88,0.289987382
735.21,0.291493963
735.54,0.292118345
735.87,0.292679909
736.2,0.292654905
736.54,0.292736464
736.87,0.293712235
737.2,0.292942407
737.53,0.295550002
737.86,0.295913298
738.19,0.298581953
738.53,0.296595612
738.86,0.297567599
739.19,0.301096594
739.52,0.296633614
739.85,0.298724781
740.18,0.299811633
740.51,0.301409782
740.85,0.302547869
741.18,0.301555967
741.51,0.30424844
741.84,0.304149042
742.17,0.30398679
742.5,0.302855225
742.83,0.304836099
743.16,0.305442275
743.49,0.305999404
743.82,0.305442581
744.16,0.305724137
744.49,0.306622994
744.82,0.308813216
745.15,0.307925311
745.48,0.307872896
745.81,0.309263469
746.14,0.310177259
746.47,0.309928207
746.8,0.310680685
747.13,0.309510156
747.46,0.311121977
747.79,0.310872978
748.12,0.311417342
748.45,0.311151799
748.78,0.312161044
749.11,0.312205154
749.44,0.314936009
749.77,0.314348519
750.1,0.312055652
750.43,0.315293908
750.76,0.316252784
751.09,0.314611292
751.42,0.315635087
751.75,0.313761531
752.08,0.317289574
752.41,0.316208596
752.74,0.314900547
753.07,0.316679543
753.4,0.318808477
753.73,0.31682668
754.06,0.318661644
754.39,0.318081927
754.72,0.31734408
755.05,0.319661373
755.38,0.318877464
755.71,0.319758934
756.03,0.318933137
756.36,0.319734126
756.69,0.321998616
757.02,0.319560256
757.35,0.321831403
757.68,0.32183009
758.01,0.322220782
758.34,0.324634417
758.67,0.326161604
758.99,0.324373265
759.32,0.32625336
759.65,0.325395398
759.98,0.326909719
760.31,0.324271808
760.64,0.323249688
760.97,0.319879966
761.29,0.31775238
761.62,0.318723821
761.95,0.318379632
762.28,0.321837853
762.61,0.320680081
762.94,0.317757323
763.26,0.319112383
763.59,0.319049791
763.92,0.319322509
764.25,0.324282973
764.58,0.32151217
764.9,0.320987949
765.23,0.320077298
765.56,0.322250797
765.89,0.322641636
766.22,0.324651249
766.54,0.324325051
766.87,0.326786836
767.2,0.326506149
767.53,0.325549811
767.85,0.328853232
768.18,0.327011973
768.51,0.330974088
768.84,0.328133992
769.16,0.329232893
769.49,0.329900497
769.82,0.331795631
770.15,0.329299915
770.47,0.329313022
770.8,0.329447305
771.13,0.332281766
771.45,0.330278153
771.78,0.333066849
772.11,0.332383571
772.43,0.334295569
772.76,0.332921598
773.09,0.33063681
773.41,0.33321862
773.74,0.33519438
774.07,0.331727576
774.39,0.333703267
774.72,0.333369599
775.05,0.335165913
775.37,0.33623473
775.7,0.336305838
776.03,0.334286907
776.35,0.336081365
776.68,0.335936361
777.01,0.336394234
777.33,0.336155811
777.66,0.333642552
777.98,0.335866505
778.31,0.336563795
778.64,0.336554356
778.96,0.338274525
779.29,0.337690644
779.61,0.335196921
779.94,0.336687556
780.27,0.336687295
780.59,0.337216077
780.92,0.335335848
781.24,0.336364487
781.57,0.337095231
781.89,0.336908496
782.22,0.33938097
782.54,0.33734279
782.87,0.336764785
783.19,0.335950481
783.52,0.338406304
783.85,0.338263585
784.17,0.338149271
784.5,0.338515089
784.82,0.339523961
785.15,0.340335678
785.47,0.339667156
785.8,0.341444472
786.12,0.34032061
786.45,0.339932477
786.77,0.339002399
787.1,0.338083685
787.42,0.337332995
787.74,0.340141041
788.07,0.339840763
788.39,0.339086689
788.72,0.341478
789.04,0.337577922
789.37,0.33908786
789.69,0.339985241
790.02,0.336320948
790.34,0.339508557
790.66,0.338288884
790.99,0.338382958
791.31,0.338899146
791.64,0.338845634
791.96,0.340590403
792.29,0.337769975
792.61,0.340821514
792.93,0.34230141
793.26,0.342327651
793.58,0.340277606
793.9,0.343004043
794.23,0.340776068
794.55,0.339420403
794.88,0.341281266
795.2,0.338657464
795.52,0.34008632
795.85,0.340747903
796.17,0.340564448
796.49,0.337300089
796.82,0.338020125
797.14,0.33648488
797.46,0.339373974
797.79,0.343000203
798.11,0.342589408
798.43,0.342332591
798.76,0.341086532
799.08,0.341481843
799.4,0.342149399
799.73,0.340301049
800.05,0.338326866
800.37,0.340931412
800.69,0.339244794
801.02,0.339718805
801.34,0.339766163
801.66,0.336870397
801.98,0.339504214
802.31,0.338747039
802.63,0.339343876
802.95,0.33866868
803.27,0.339647225
803.6,0.338390639
803.92,0.340028931
804.24,0.341447763
804.56,0.339174082
804.89,0.341157551
805.21,0.340650966
805.53,0.340149745
805.85,0.339494571
806.17,0.344863534
806.5,0.338954907
806.82,0.342086819
807.14,0.342366184
807.46,0.339408855
807.78,0.342389209
808.11,0.340309098
808.43,0.340829224
808.75,0.342226238
809.07,0.339336016
809.39,0.343144934
809.71,0.344275901
810.03,0.34152835
810.36,0.343661189
810.68,0.340075201
811,0.339481587
811.32,0.342751521
811.64,0.34074952
811.96,0.341510594
812.28,0.343339726
812.6,0.342927877
812.93,0.343514728
813.25,0.342134287
813.57,0.343184697
813.89,0.344479215
814.21,0.342489724
814.53,0.343352104
814.85,0.341180284
815.17,0.340482692
815.49,0.340988428
815.81,0.340577501
816.13,0.338032842
816.45,0.336774312
816.77,0.346828571
817.09,0.341174522
817.41,0.346683118
817.73,0.339162965
818.06,0.346235727
818.38,0.34263711
818.7,0.350108904
819.02,0.348733365
819.34,0.349245365
819.66,0.348568808
819.98,0.348328073
820.3,0.348861346
820.62,0.352424221
820.94,0.352000926
821.26,0.352396585
821.57,0.350256779
821.89,0.353824596
822.21,0.355184656
822.53,0.352520036
822.85,0.350526583
823.17,0.354224652
823.49,0.349065029
823.81,0.352627061
824.13,0.354240373
824.45,0.355367352
824.77,0.357784228
825.09,0.361345435
825.41,0.357829558
825.73,0.357588027
826.05,0.354250629
826.36,0.359543935
