spectra (nm),avg. montiporadigitata
668.26,0.057998913
668.6,0.057751774
668.94,0.057405637
669.28,0.057223653
669.62,0.057332589
669.96,0.056664681
670.3,0.05690261
670.64,0.056511818
670.98,0.056468015
671.32,0.056474292
671.66,0.05685975
672,0.056493544
672.34,0.056684541
672.68,0.056729983
673.02,0.056938065
673.36,0.057109774
673.7,0.057057073
674.04,0.0575789
674.38,0.057870948
674.72,0.058148383
675.06,0.05801819
675.4,0.05890299
675.74,0.058872711
676.08,0.059410105
676.42,0.05975422
676.76,0.059770637
677.1,0.06047271
677.44,0.061318572
677.78,0.061711652
678.12,0.062424632
678.46,0.062366485
678.8,0.063694276
679.14,0.064261169
679.48,0.064965313
679.82,0.065513482
680.16,0.066315273
680.5,0.066757652
680.84,0.06796813
681.18,0.06880288
681.51,0.069582597
681.85,0.070569246
682.19,0.071984063
682.53,0.072618264
682.87,0.073657493
683.21,0.075585802
683.55,0.076689788
683.89,0.077633382
684.23,0.079607778
684.56,0.080996677
684.9,0.083175105
685.24,0.085067875
685.58,0.086984266
685.92,0.089988679
686.26,0.092858166
686.6,0.09602353
686.93,0.100071371
687.27,0.103255142
687.61,0.1052466
687.95,0.108575196
688.29,0.111228981
688.63,0.115047146
688.96,0.118795372
689.3,0.1220704
689.64,0.126609388
689.98,0.130885283
690.32,0.135109051
690.65,0.13988257
690.99,0.143940902
691.33,0.14939979
691.67,0.154815772
692.01,0.160325168
692.34,0.166685728
692.68,0.172855721
693.02,0.179438279
693.36,0.186284361
693.69,0.193511666
694.03,0.201182221
694.37,0.207787831
694.71,0.215540005
695.04,0.22310416
695.38,0.229988636
695.72,0.238098293
696.06,0.245005444
696.39,0.251662501
696.73,0.259005419
697.07,0.266945947
697.4,0.275384514
697.74,0.282079933
698.08,0.288869541
698.42,0.297147626
698.75,0.305100739
699.09,0.313351566
699.43,0.321615771
699.76,0.329847171
700.1,0.33829661
700.44,0.346291677
700.77,0.354213147
701.11,0.359909992
701.45,0.368120195
701.78,0.376404359
702.12,0.383725365
702.45,0.391434403
702.79,0.396771622
703.13,0.40471866
703.46,0.411312097
703.8,0.419335738
704.14,0.424545889
704.47,0.429240716
704.81,0.437455355
705.14,0.442931178
705.48,0.447728188
705.82,0.454741141
706.15,0.462131721
706.49,0.467048362
706.82,0.471446156
707.16,0.477209382
707.5,0.482901289
707.83,0.489131475
708.17,0.49316456
708.5,0.497674803
708.84,0.501318871
709.17,0.505809978
709.51,0.510657075
709.84,0.515096889
710.18,0.519095762
710.52,0.521324439
710.85,0.527888784
711.19,0.530646228
711.52,0.535048854
711.86,0.539161387
712.19,0.542086192
712.53,0.544694782
712.86,0.548545741
713.2,0.551328175
713.53,0.554345384
713.87,0.557991051
714.2,0.560763557
714.54,0.564213642
714.87,0.565090433
715.21,0.566671166
715.54,0.570953862
715.88,0.57664834
716.21,0.576906435
716.54,0.582362874
716.88,0.583330175
717.21,0.588918643
717.55,0.590999859
717.88,0.593543527
718.22,0.599370371
718.55,0.602372365
718.88,0.604879779
719.22,0.608314049
719.55,0.607602016
719.89,0.612895998
720.22,0.610749201
720.56,0.613096287
720.89,0.613863809
721.22,0.615648169
721.56,0.614818154
721.89,0.618224394
722.22,0.620944045
722.56,0.622264134
722.89,0.623730793
723.23,0.627808162
723.56,0.629058989
723.89,0.632999638
724.23,0.636376763
724.56,0.636756551
724.89,0.637655538
725.23,0.640175197
725.56,0.638978925
725.89,0.645442042
726.23,0.649033088
726.56,0.649544566
726.89,0.6504572
727.23,0.652950731
727.56,0.654672608
727.89,0.656559059
728.23,0.659347597
728.56,0.660741157
728.89,0.661979073
729.22,0.662354458
729.56,0.663922654
729.89,0.665943319
730.22,0.665747868
730.55,0.672375246
730.89,0.669925012
731.22,0.671238138
731.55,0.672773277
731.89,0.675933444
732.22,0.677325513
732.55,0.677420721
732.88,0.679194747
733.21,0.680732984
733.55,0.682635229
733.88,0.680779892
734.21,0.684042117
734.54,0.686211259
734.88,0.686523705
735.21,0.687238226
735.54,0.688185966
735.87,0.691436095
736.2,0.693546165
736.54,0.693651979
736.87,0.695727155
737.2,0.698754796
737.53,0.6989131
737.86,0.697775669
738.19,0.702696363
738.53,0.702996744
