seagrass,ref
679.14,0.034187897
679.48,0.034149003
679.82,0.034450478
680.16,0.034342303
680.5,0.034690222
680.84,0.034952639
681.18,0.034963257
681.51,0.0351593
681.85,0.035386795
682.19,0.03557955
682.53,0.036007207
682.87,0.03620208
683.21,0.036692132
683.55,0.036830584
683.89,0.036706032
684.23,0.037620697
684.56,0.03750608
684.9,0.038189814
685.24,0.038401186
685.58,0.039170786
685.92,0.039456833
686.26,0.039761405
686.6,0.041305503
686.93,0.042017345
687.27,0.042128706
687.61,0.042846451
687.95,0.043087664
688.29,0.043771552
688.63,0.043867465
688.96,0.044686468
689.3,0.045905096
689.64,0.046220873
689.98,0.047257958
690.32,0.04795831
690.65,0.048363554
690.99,0.04880686
691.33,0.049942604
691.67,0.050702156
692.01,0.051932748
692.34,0.053049756
692.68,0.054294609
693.02,0.055327226
693.36,0.056273948
693.69,0.057632209
694.03,0.059113545
694.37,0.060327
694.71,0.060863571
695.04,0.062651541
695.38,0.063273904
695.72,0.06588588
696.06,0.065995141
696.39,0.067607
696.73,0.069127427
697.07,0.069984276
697.4,0.071462564
697.74,0.072856914
698.08,0.074511424
698.42,0.075976248
698.75,0.078412443
699.09,0.079331963
699.43,0.081129286
699.76,0.082594495
700.1,0.084380603
700.44,0.086305334
700.77,0.088235547
701.11,0.089522959
701.45,0.091432369
701.78,0.092753696
702.12,0.094523148
702.45,0.096817276
702.79,0.098205859
703.13,0.100304234
703.46,0.101682008
703.8,0.103201732
704.14,0.106346411
704.47,0.106712494
704.81,0.109777312
705.14,0.111362107
705.48,0.112602219
705.82,0.114626325
706.15,0.117470578
706.49,0.118785674
706.82,0.120308434
707.16,0.122351515
707.5,0.124743137
707.83,0.126624393
708.17,0.128683592
708.5,0.130744856
708.84,0.132448406
709.17,0.134536891
709.51,0.136990376
709.84,0.138418549
710.18,0.139506614
710.52,0.142431779
710.85,0.144615966
711.19,0.146953552
711.52,0.148665276
711.86,0.151170494
712.19,0.153343542
712.53,0.155657962
712.86,0.157031414
713.2,0.159491045
713.53,0.161679254
713.87,0.163562102
714.2,0.165860874
714.54,0.16898639
714.87,0.170984082
715.21,0.173217036
715.54,0.17517282
715.88,0.177167211
716.21,0.180142179
716.54,0.182637351
716.88,0.184511227
717.21,0.186893752
717.55,0.188987264
717.88,0.191365707
718.22,0.19497103
718.55,0.197299941
718.88,0.19890288
719.22,0.204070251
719.55,0.204789151
719.89,0.207607146
720.22,0.209490799
720.56,0.210551636
720.89,0.213335775
721.22,0.214728455
721.56,0.216346934
721.89,0.21869065
722.22,0.220897118
722.56,0.222749917
722.89,0.224860987
723.23,0.227094348
723.56,0.228840307
723.89,0.232111508
724.23,0.233252864
724.56,0.236825965
724.89,0.237496382
725.23,0.240166733
725.56,0.243601742
725.89,0.245000937
726.23,0.24739202
726.56,0.249433086
726.89,0.250666506
727.23,0.252256741
727.56,0.254252298
727.89,0.257009736
728.23,0.258797281
728.56,0.260900054
728.89,0.262063308
729.22,0.263860236
729.56,0.267387181
729.89,0.266204474
730.22,0.269003175
730.55,0.27094237
730.89,0.273080825
731.22,0.275673174
731.55,0.275502277
731.89,0.277274968
732.22,0.279122641
732.55,0.281107691
732.88,0.280824619
733.21,0.282801254
733.55,0.285169442
733.88,0.286375249
734.21,0.287618713
734.54,0.289603901
734.88,0.289145402
735.21,0.292343127
735.54,0.293730843
735.87,0.295824341
736.2,0.295616337
736.54,0.297810179
736.87,0.29926165
737.2,0.299701031
737.53,0.302436046
737.86,0.301231307
738.19,0.303481214
738.53,0.306154649
738.86,0.306394042
739.19,0.306915481
739.52,0.308432698
739.85,0.309850847
740.18,0.31109987
740.51,0.314564607
740.85,0.313297653
741.18,0.316441724
741.51,0.317115944
741.84,0.317780495
742.17,0.319098852
742.5,0.320813766
742.83,0.320871826
743.16,0.323187917
743.49,0.323500883
743.82,0.325609863
744.16,0.325467103
744.49,0.32740511
744.82,0.326770466
745.15,0.329304058
745.48,0.330384386
745.81,0.330209581
746.14,0.331166269
746.47,0.332395596
746.8,0.333005829
747.13,0.335177999
747.46,0.334964858
