Wavelength (nm),Panchromatic,Coastal,Blue,Green,Yellow,Red,Red Edge,NIR1,NIR2
483,5.29E-01,1.12E-05,8.77E-01,2.86E-05,6.36E-07,1.45E-06,7.93E-06,1.36E-06,1.42E-07
484,5.31E-01,1.11E-05,8.76E-01,3.26E-05,5.54E-07,1.65E-06,1.22E-05,2.19E-06,2.24E-07
485,5.34E-01,1.10E-05,8.78E-01,3.56E-05,6.98E-07,1.28E-06,1.38E-05,1.60E-06,6.80E-07
486,5.33E-01,1.09E-05,8.81E-01,3.88E-05,8.43E-07,9.09E-07,1.54E-05,1.01E-06,1.14E-06
487,5.30E-01,1.08E-05,8.85E-01,4.19E-05,7.10E-07,1.21E-06,1.04E-05,7.14E-07,9.56E-07
488,5.27E-01,1.08E-05,8.90E-01,4.51E-05,5.77E-07,1.51E-06,5.42E-06,4.24E-07,7.71E-07
489,5.25E-01,9.92E-06,8.99E-01,5.57E-05,6.53E-07,2.23E-06,4.66E-06,4.48E-07,4.03E-07
490,5.23E-01,9.09E-06,9.08E-01,6.64E-05,7.30E-07,2.95E-06,3.88E-06,4.73E-07,3.20E-08
491,5.31E-01,9.07E-06,9.17E-01,8.94E-05,6.54E-07,2.36E-06,3.18E-06,5.38E-07,1.63E-07
492,5.38E-01,9.07E-06,9.27E-01,1.12E-04,5.78E-07,1.76E-06,2.48E-06,6.04E-07,2.95E-07
493,5.44E-01,1.11E-05,9.34E-01,1.75E-04,5.49E-07,1.97E-06,8.91E-06,5.23E-07,2.17E-07
494,5.50E-01,1.32E-05,9.40E-01,2.38E-04,5.20E-07,2.17E-06,1.54E-05,4.41E-07,1.38E-07
495,5.57E-01,1.17E-05,9.50E-01,3.96E-04,3.37E-07,2.88E-06,1.53E-05,3.36E-07,1.35E-07
496,5.57E-01,1.02E-05,9.60E-01,5.55E-04,1.54E-07,3.60E-06,1.54E-05,2.30E-07,1.33E-07
497,5.58E-01,7.68E-06,9.71E-01,9.41E-04,3.50E-07,2.65E-06,1.18E-05,1.91E-07,6.68E-08
498,5.58E-01,5.09E-06,9.82E-01,1.33E-03,5.47E-07,1.68E-06,8.09E-06,1.50E-07,1.26E-10
499,5.58E-01,3.20E-06,9.91E-01,2.21E-03,3.61E-07,1.61E-06,4.66E-06,2.33E-07,3.68E-07
500,5.58E-01,1.31E-06,1.00E+00,3.09E-03,1.75E-07,1.54E-06,1.20E-06,3.18E-07,7.36E-07
501,5.67E-01,1.41E-06,9.97E-01,5.40E-03,2.78E-07,2.06E-06,8.66E-07,2.26E-07,9.19E-07
502,5.76E-01,1.52E-06,9.93E-01,7.71E-03,3.81E-07,2.57E-06,5.28E-07,1.33E-07,1.10E-06
503,5.86E-01,1.23E-06,9.65E-01,1.45E-02,2.46E-07,1.97E-06,2.56E-06,1.50E-07,5.70E-07
504,5.96E-01,9.45E-07,9.36E-01,2.13E-02,1.12E-07,1.36E-06,4.61E-06,1.66E-07,3.45E-08
505,6.06E-01,8.63E-07,8.56E-01,4.05E-02,2.23E-07,8.29E-07,4.22E-06,2.50E-07,2.66E-08
506,6.09E-01,7.78E-07,7.75E-01,5.98E-02,3.35E-07,2.95E-07,3.84E-06,3.33E-07,1.84E-08
507,6.14E-01,6.73E-07,6.55E-01,1.09E-01,2.62E-07,2.52E-07,2.24E-06,3.75E-07,6.00E-08
508,6.18E-01,5.66E-07,5.33E-01,1.59E-01,1.90E-07,2.09E-07,6.26E-07,4.18E-07,1.02E-07
509,6.22E-01,6.34E-07,4.16E-01,2.55E-01,1.78E-07,2.55E-07,4.14E-07,3.17E-07,1.54E-07
510,6.27E-01,7.02E-07,2.98E-01,3.52E-01,1.67E-07,3.01E-07,2.01E-07,2.16E-07,2.06E-07
511,6.21E-01,8.01E-07,2.21E-01,4.63E-01,1.67E-07,2.79E-07,1.86E-07,3.11E-07,2.74E-07
512,6.16E-01,9.01E-07,1.45E-01,5.74E-01,1.66E-07,2.56E-07,1.70E-07,4.07E-07,3.45E-07
513,6.09E-01,8.74E-07,1.07E-01,6.38E-01,1.55E-07,2.17E-07,1.92E-07,2.68E-07,3.93E-07
514,6.01E-01,8.49E-07,6.85E-02,7.01E-01,1.43E-07,1.79E-07,2.12E-07,1.29E-07,4.43E-07
515,5.95E-01,9.39E-07,5.04E-02,7.23E-01,1.36E-07,2.45E-07,1.28E-07,2.90E-07,8.02E-07
516,6.02E-01,1.03E-06,3.21E-02,7.45E-01,1.28E-07,3.11E-07,4.30E-08,4.51E-07,1.16E-06
517,6.08E-01,1.09E-06,2.28E-02,7.55E-01,2.29E-07,2.59E-07,8.29E-08,4.04E-07,9.81E-07
518,6.16E-01,1.15E-06,1.36E-02,7.65E-01,3.32E-07,2.06E-07,1.23E-07,3.56E-07,7.98E-07
519,6.23E-01,1.07E-06,9.66E-03,7.72E-01,2.35E-07,1.99E-07,1.53E-07,3.34E-07,6.25E-07
520,6.31E-01,9.85E-07,5.73E-03,7.79E-01,1.39E-07,1.91E-07,1.83E-07,3.11E-07,4.48E-07
521,6.38E-01,8.05E-07,4.51E-03,7.82E-01,1.44E-07,2.11E-07,1.48E-07,3.73E-07,3.57E-07
522,6.45E-01,6.26E-07,3.29E-03,7.85E-01,1.48E-07,2.32E-07,1.12E-07,4.35E-07,2.66E-07
523,6.54E-01,8.64E-07,2.65E-03,7.92E-01,3.39E-07,1.80E-07,1.09E-07,3.62E-07,2.20E-07
524,6.62E-01,1.11E-06,2.01E-03,7.99E-01,5.30E-07,1.29E-07,1.06E-07,2.88E-07,1.73E-07
525,6.72E-01,8.99E-07,1.66E-03,8.07E-01,3.57E-07,1.14E-07,1.12E-07,1.80E-07,2.17E-07
526,6.67E-01,6.91E-07,1.30E-03,8.15E-01,1.82E-07,1.00E-07,1.19E-07,7.16E-08,2.62E-07
527,6.65E-01,1.06E-06,1.09E-03,8.24E-01,2.74E-07,5.69E-08,1.17E-07,1.05E-07,1.86E-06
528,6.62E-01,1.43E-06,8.73E-04,8.33E-01,3.67E-07,1.36E-08,1.16E-07,1.39E-07,3.46E-06
529,6.58E-01,2.52E-06,7.39E-04,8.37E-01,4.38E-07,1.20E-07,1.66E-07,1.26E-07,6.12E-06
530,6.55E-01,3.63E-06,6.05E-04,8.41E-01,5.09E-07,2.27E-07,2.16E-07,1.13E-07,8.78E-06
531,6.62E-01,2.59E-06,5.13E-04,8.41E-01,3.89E-07,1.37E-07,1.51E-07,6.19E-08,4.82E-06
532,6.68E-01,1.56E-06,4.21E-04,8.42E-01,2.69E-07,4.60E-08,8.45E-08,1.06E-08,8.62E-07
533,6.77E-01,9.96E-07,3.62E-04,8.43E-01,1.95E-07,2.32E-08,1.27E-07,4.64E-08,5.49E-07
534,6.85E-01,4.30E-07,3.03E-04,8.43E-01,1.20E-07,7.26E-11,1.69E-07,8.24E-08,2.37E-07
535,6.93E-01,4.01E-07,2.59E-04,8.44E-01,2.02E-07,2.42E-08,1.61E-07,4.67E-08,3.83E-07
536,6.93E-01,3.71E-07,2.16E-04,8.45E-01,2.84E-07,4.83E-08,1.53E-07,1.08E-08,5.29E-07
537,6.92E-01,4.71E-07,1.84E-04,8.46E-01,2.28E-07,2.43E-08,1.63E-07,1.63E-08,2.87E-06
538,6.90E-01,5.72E-07,1.52E-04,8.47E-01,1.72E-07,7.39E-11,1.73E-07,2.17E-08,5.22E-06
539,6.89E-01,4.19E-07,1.31E-04,8.49E-01,1.48E-07,3.31E-08,1.45E-07,1.09E-08,4.95E-06
540,6.88E-01,2.69E-07,1.09E-04,8.50E-01,1.24E-07,6.62E-08,1.16E-07,8.31E-11,4.68E-06
541,6.85E-01,4.05E-07,9.55E-05,8.55E-01,2.64E-07,4.27E-08,1.13E-07,1.10E-08,2.40E-06
542,6.81E-01,5.43E-07,8.19E-05,8.59E-01,4.04E-07,1.90E-08,1.10E-07,2.21E-08,1.07E-07
543,6.76E-01,4.28E-07,7.08E-05,8.60E-01,3.18E-07,1.03E-07,1.20E-07,3.78E-08,7.68E-08
544,6.70E-01,3.15E-07,5.96E-05,8.61E-01,2.32E-07,1.88E-07,1.31E-07,5.35E-08,4.65E-08
545,6.65E-01,3.70E-07,5.14E-05,8.64E-01,3.63E-07,1.42E-07,6.99E-08,1.06E-07,2.99E-07
546,6.73E-01,4.26E-07,4.30E-05,8.66E-01,4.93E-07,9.61E-08,8.60E-09,1.60E-07,5.51E-07
547,6.80E-01,8.52E-06,4.91E-05,8.68E-01,2.67E-06,9.07E-08,1.31E-08,1.32E-07,1.57E-06
548,6.87E-01,1.66E-05,5.50E-05,8.70E-01,4.85E-06,8.53E-08,1.76E-08,1.05E-07,2.59E-06
549,6.94E-01,7.90E-05,6.08E-05,8.76E-01,5.93E-06,1.02E-07,2.24E-08,5.77E-08,1.81E-06
550,7.02E-01,1.42E-04,6.67E-05,8.83E-01,7.00E-06,1.19E-07,2.72E-08,1.07E-08,1.03E-06
551,7.03E-01,7.25E-05,6.43E-05,8.89E-01,6.85E-06,7.63E-08,6.98E-08,4.61E-08,5.67E-07
552,7.04E-01,3.10E-06,6.20E-05,8.96E-01,6.69E-06,3.31E-08,1.12E-07,8.14E-08,1.04E-07
553,7.08E-01,1.69E-06,6.27E-05,9.06E-01,5.78E-06,4.16E-08,1.35E-07,7.69E-08,9.09E-08
554,7.11E-01,2.54E-07,6.33E-05,9.16E-01,4.88E-06,5.01E-08,1.56E-07,7.23E-08,7.82E-08
555,7.14E-01,3.07E-07,6.07E-05,9.24E-01,4.37E-06,7.59E-08,1.55E-07,9.95E-08,1.50E-07
556,7.12E-01,3.60E-07,5.79E-05,9.33E-01,3.87E-06,1.02E-07,1.54E-07,1.27E-07,2.21E-07
557,7.11E-01,3.03E-07,5.88E-05,9.39E-01,4.56E-06,1.94E-07,1.52E-07,1.45E-07,1.57E-07
558,7.09E-01,2.46E-07,5.99E-05,9.45E-01,5.26E-06,2.87E-07,1.48E-07,1.64E-07,9.14E-08
559,7.09E-01,3.83E-07,6.12E-05,9.54E-01,4.54E-06,2.03E-07,2.53E-07,1.28E-07,1.20E-07
