spectrum (nm),reflectance
777.66,0.690128739
777.98,0.689521566
778.31,0.692030566
778.64,0.692900815
778.96,0.692220837
779.29,0.691569469
779.61,0.691178822
779.94,0.691256512
780.27,0.691077753
780.59,0.693907791
780.92,0.695339455
781.24,0.693536078
781.57,0.692557898
781.89,0.693686919
782.22,0.692881311
782.54,0.691956627
782.87,0.695184044
783.19,0.696552122
783.52,0.69284442
783.85,0.696396503
784.17,0.697155666
784.5,0.694759857
784.82,0.694529285
785.15,0.69549197
785.47,0.696340833
785.8,0.692074578
786.12,0.695227988
786.45,0.698486635
786.77,0.696929182
787.1,0.698276003
787.42,0.695669791
787.74,0.697912562
788.07,0.701266685
788.39,0.700366657
788.72,0.699459795
789.04,0.700249332
789.37,0.695271565
789.69,0.699373179
790.02,0.699110341
790.34,0.697560359
790.66,0.696287686
790.99,0.69929005
791.31,0.700004621
791.64,0.700865204
791.96,0.700185058
792.29,0.69863835
792.61,0.699584306
792.93,0.699003726
793.26,0.701983945
793.58,0.703246542
793.9,0.703659014
794.23,0.698970396
794.55,0.700568225
794.88,0.702587369
795.2,0.702180259
795.52,0.701040624
795.85,0.699639462
796.17,0.700160993
796.49,0.705254284
796.82,0.702513642
797.14,0.70177933
797.46,0.703680647
797.79,0.699977401
798.11,0.705681599
798.43,0.707011944
798.76,0.70418109
799.08,0.702807112
799.4,0.70326181
799.73,0.705393269
800.05,0.704411579
800.37,0.704154859
800.69,0.706740029
801.02,0.704860748
801.34,0.706825015
801.66,0.704730106
801.98,0.703484796
802.31,0.705614231
802.63,0.700591634
802.95,0.704337853
803.27,0.708543124
803.6,0.702817613
803.92,0.707469267
804.24,0.707210848
804.56,0.70542736
804.89,0.710455992
805.21,0.704336565
805.53,0.704722025
805.85,0.707764797
806.17,0.704157531
806.5,0.70937749
806.82,0.706257543
807.14,0.705589
807.46,0.712407071
807.78,0.707684747
808.11,0.707068989
808.43,0.705736266
808.75,0.703841535
809.07,0.710433519
809.39,0.711663961
809.71,0.706924173
810.03,0.710780239
810.36,0.709709431
810.68,0.708387647
811,0.701895144
811.32,0.705882319
811.64,0.707459759
811.96,0.710879736
812.28,0.708263392
812.6,0.706198015
812.93,0.706290462
813.25,0.706977811
813.57,0.708459242
813.89,0.701291812
814.21,0.70632454
814.53,0.703566224
814.85,0.702792733
815.17,0.703294286
815.49,0.705218292
815.81,0.701141752
816.13,0.701463093
816.45,0.708037132
816.77,0.702991565
817.09,0.709350981
817.41,0.707579832
817.73,0.701630384
818.06,0.709949756
818.38,0.702247306
818.7,0.703163183
819.02,0.702285582
819.34,0.704846455
819.66,0.70694479
819.98,0.707315993
820.3,0.70888423
820.62,0.715377789
820.94,0.708708424
821.26,0.710188323
821.57,0.711006895
821.89,0.706676802
822.21,0.701911767
822.53,0.705075021
822.85,0.703659222
823.17,0.705882208
823.49,0.705952972
823.81,0.70822018
824.13,0.704359014
824.45,0.712452491
824.77,0.706600516
825.09,0.707709413
825.41,0.708530619
825.73,0.704257702
826.05,0.715571362
826.36,0.714329032
826.68,0.708602193
