muricata,reflection
723.89,0.469409541
724.23,0.468791447
724.56,0.469867967
724.89,0.445317539
725.23,0.450107083
725.56,0.454383242
725.89,0.445207141
726.23,0.457783929
726.56,0.467835051
726.89,0.468088617
727.23,0.459734772
727.56,0.450181872
727.89,0.487417805
728.23,0.475549108
728.56,0.481150549
728.89,0.473747995
729.22,0.466792366
729.56,0.47268598
729.89,0.475394076
730.22,0.45622468
730.55,0.47962859
730.89,0.470947714
731.22,0.462575557
731.55,0.462076512
731.89,0.47437498
732.22,0.484325625
732.55,0.491443256
732.88,0.476346231
733.21,0.491166702
733.55,0.482476748
733.88,0.467975919
734.21,0.482303534
734.54,0.488303811
734.88,0.474426156
735.21,0.483723959
735.54,0.498919754
735.87,0.490707781
736.2,0.487596997
736.54,0.488160525
736.87,0.511676611
737.2,0.48920534
737.53,0.495163134
737.86,0.478900484
738.19,0.494237464
738.53,0.488967432
738.86,0.489126892
739.19,0.494762059
739.52,0.513110677
739.85,0.513670598
740.18,0.493746322
740.51,0.508922814
740.85,0.514149184
741.18,0.503578166
741.51,0.509002868
741.84,0.526092416
742.17,0.522018712
742.5,0.502426702
742.83,0.508811126
743.16,0.498897255
743.49,0.519984086
743.82,0.534465155
744.16,0.503406265
744.49,0.517687152
744.82,0.508040516
745.15,0.512884679
745.48,0.507500536
745.81,0.510518318
746.14,0.508566329
746.47,0.532803233
746.8,0.507362878
747.13,0.511439649
747.46,0.515221668
747.79,0.498782892
748.12,0.498602602
748.45,0.512549533
748.78,0.516734692
749.11,0.525730537
749.44,0.525909902
749.77,0.520032476
750.1,0.526812073
750.43,0.512358017
750.76,0.505639755
751.09,0.518144256
751.42,0.528622568
751.75,0.533749942
752.08,0.533399119
752.41,0.533569551
752.74,0.526875721
753.07,0.542059372
753.4,0.512796763
753.73,0.521919697
754.06,0.52077721
754.39,0.519266406
754.72,0.531343047
755.05,0.529504865
755.38,0.53885644
755.71,0.5231572
756.03,0.537192515
756.36,0.52954558
756.69,0.546016488
757.02,0.534753335
757.35,0.526728518
757.68,0.528209872
758.01,0.525201522
758.34,0.531130859
758.67,0.566458084
758.99,0.559058357
759.32,0.571740896
759.65,0.539247858
759.98,0.559101569
760.31,0.54742886
760.64,0.513113222
